,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,pypi_id,conda_id,updated_github_id,pypi_url,pypi_monthly_downloads,conda_url,trending,new_addition,gitlab_id,gitlab_url
76,pyti,,ta,https://github.com/kylejusticemagnuson/pyti,Python library of various financial technical indicators.,17,False,['python'],kylejusticemagnuson/pyti,,https://github.com/kylejusticemagnuson/pyti,MIT,2017-02-09 00:14:18,2020-10-21 17:22:54,2018-05-08 15:00:01,130.0,,156.0,48.0,15.0,12.0,9.0,662.0,2018-05-08 15:21:50,0.2.2,7.0,189.0,189.0,5.0,,,,3.0,,,,,,,,,,,
77,binance-java-api,,libraries-api,https://github.com/binance-exchange/binance-java-api,"binance-java-api is a lightweight Java library for the Binance API, supporting synchronous and asynchronous requests,..",16,False,['java'],binance-exchange/binance-java-api,,https://github.com/binance-exchange/binance-java-api,MIT,2017-10-20 11:23:10,2023-10-27 07:16:28,2023-10-27 07:16:23,209.0,,599.0,96.0,139.0,114.0,184.0,822.0,,,,,,44.0,,,,3.0,,,,,,,,,,,
78,Fast Trade,,libraries-api,https://github.com/jrmeier/fast-trade,low code backtesting library utilizing pandas and technical analysis indicators.,16,True,['python'],jrmeier/fast-trade,,https://github.com/jrmeier/fast-trade,AGPL-3.0,2019-08-06 16:22:53,2026-03-11 05:09:32,2026-03-11 05:06:23,302.0,19.0,59.0,10.0,21.0,1.0,6.0,535.0,2026-03-11 05:09:32,2.0.0,23.0,3.0,3.0,5.0,,,,3.0,,,,,,,,,,,
79,Coinnect,,libraries-api,https://github.com/hugues31/coinnect,Coinnect is a Rust library aiming to provide a complete access to main crypto currencies exchanges via REST API.,16,False,['rust'],hugues31/coinnect,,https://github.com/hugues31/coinnect,MIT,2017-02-14 23:22:33,2021-11-30 20:49:56,2021-11-30 20:49:56,220.0,,42.0,14.0,50.0,6.0,21.0,154.0,2018-03-25 17:49:34,0.5.10,13.0,15.0,15.0,12.0,,,,3.0,,,,,,,,,,,
80,Techan,,ta,https://github.com/sdcoffey/techan,Technical Analysis Library for Golang.,15,False,['go'],sdcoffey/techan,,https://github.com/sdcoffey/techan,MIT,2017-03-08 03:04:08,2023-09-13 21:16:18,2021-11-17 16:09:20,165.0,,153.0,51.0,25.0,14.0,19.0,893.0,2018-04-12 18:41:52,0.3.0,4.0,,,9.0,,,,3.0,,,,,,,,,,,
81,Qt Bitcoin Trader,,bots-frameworks,https://github.com/JulyIghor/QtBitcoinTrader,Secure multi crypto exchange trading client.,15,False,['cplusplus'],JulyIghor/QtBitcoinTrader,,https://github.com/JulyIghor/QtBitcoinTrader,,2013-05-14 21:16:29,2025-06-25 18:26:27,2025-06-25 18:26:24,348.0,,370.0,101.0,41.0,53.0,193.0,787.0,2023-05-25 21:38:13,1.42.21,41.0,,,11.0,,,3.0,3.0,446.0,,,,,,,,,,
82,ftx-api,,libraries-api,https://github.com/tiagosiebler/ftx-api,"Node.js connector for the FTX.com & FTX.us APIs and WebSockets, with TypeScript & browser support.",15,False,['nodejs'],tiagosiebler/ftx-api,,https://github.com/tiagosiebler/ftx-api,MIT,2021-03-14 12:57:46,2023-03-14 15:33:38,2022-11-29 09:32:49,152.0,,41.0,1.0,67.0,1.0,33.0,120.0,2021-05-07 19:50:59,1.0.9,4.0,116.0,116.0,14.0,,,,3.0,,,,,,,,,,,
83,Tulip Indicators,,ta,https://github.com/TulipCharts/tulipindicators,Technical Analysis Indicator Function Library in C.,14,False,['c'],TulipCharts/tulipindicators,,https://github.com/TulipCharts/tulipindicators,LGPL-3.0,2016-12-01 04:11:05,2024-02-02 23:02:49,2024-01-08 22:07:11,56.0,,173.0,54.0,54.0,34.0,42.0,943.0,2022-01-18 01:53:32,0.9.1,2.0,,,4.0,,,,3.0,,,,,,,,,,,
84,crypto-exchanges-gateway,,libraries-api,https://github.com/aloysius-pgast/crypto-exchanges-gateway,Your gateway to the world of crypto !.,14,False,['nodejs'],aloysius-pgast/crypto-exchanges-gateway,,https://github.com/aloysius-pgast/crypto-exchanges-gateway,,2017-09-15 12:25:00,2025-11-06 21:34:05,2023-11-11 22:18:19,582.0,,150.0,36.0,342.0,,43.0,609.0,2023-11-11 22:34:16,1.13.2,44.0,,,4.0,,,,3.0,,,,,,,,,,,
85,binance-api-node,,libraries-api,https://github.com/binance-exchange/binance-api-node,A complete and heavily tested API wrapper for the Binance API.,14,False,['nodejs'],binance-exchange/binance-api-node,,https://github.com/binance-exchange/binance-api-node,,2017-11-06 08:42:59,2023-10-27 07:10:40,2023-10-27 06:14:52,506.0,,167.0,42.0,26.0,,,565.0,2018-03-09 22:50:04,0.7.1,4.0,,,106.0,,,,3.0,,,,,,,,,,,
86,Magic8bot,,bots-frameworks,https://github.com/magic8bot/magic8bot,Magic8bot is a cryptocurrency trading bot using Node.js and MongoDB.,14,False,['nodejs'],magic8bot/magic8bot,,https://github.com/magic8bot/magic8bot,MIT,2018-07-09 13:27:43,2023-03-04 04:08:38,2020-12-26 14:42:48,164.0,,82.0,33.0,87.0,1.0,186.0,398.0,,,,,,6.0,,,,3.0,,,,,,,,,,,
87,WolfBot,,bots-frameworks,https://github.com/Ekliptor/WolfBot,Crypto currency trading bot written in TypeScript for NodeJS.,13,False,['nodejs'],Ekliptor/WolfBot,,https://github.com/Ekliptor/WolfBot,AGPL-3.0,2018-04-23 00:45:12,2023-02-17 02:36:27,2023-02-17 02:36:23,542.0,,217.0,41.0,74.0,4.0,58.0,769.0,,,,,,12.0,,,,3.0,,,,,,,,,,,
88,Wolfinch,,bots-frameworks,https://github.com/wolfinch/wolfinch,Wolfinch is your friendly trader Bot written in Python.,12,False,['python'],ldmonko/wolfinch,,https://github.com/wolfinch/wolfinch,GPL-3.0,2018-01-12 06:25:09,2026-02-28 02:18:11,2021-03-04 03:20:57,659.0,,49.0,11.0,9.0,6.0,17.0,268.0,2020-07-12 22:31:10,1.1.1,1.0,,,6.0,,,,3.0,,,,wolfinch/wolfinch,,,,,,,
89,Technical Analysis for Rust,,ta,https://github.com/greyblake/ta-rs,Technical analysis library for Rust language.,11,False,['rust'],greyblake/ta-rs,,https://github.com/greyblake/ta-rs,MIT,2017-09-29 21:53:18,2024-07-12 15:51:05,2022-10-21 19:51:03,208.0,,141.0,20.0,50.0,12.0,16.0,843.0,,,,,,13.0,,,,3.0,,,,,,,,,,,
90,TriangularArbitrage,,bots-frameworks,https://github.com/tiagosiebler/TriangularArbitrage,Detect triangular arbitrage opportunities within Binance price tickers.,11,False,['nodejs'],tiagosiebler/TriangularArbitrage,,https://github.com/tiagosiebler/TriangularArbitrage,,2017-12-31 18:04:02,2024-02-27 03:22:40,2023-01-24 11:30:58,65.0,,184.0,52.0,18.0,6.0,51.0,604.0,,,,,,6.0,,,,3.0,,,,,,,,,,,
91,Tulip Node,,ta,https://github.com/TulipCharts/tulipnode,Tulip Node is the official node.js wrapper for Tulip Indicators. It provides over 100 technical analysis overlay and..,11,False,['nodejs'],TulipCharts/tulipnode,,https://github.com/TulipCharts/tulipnode,LGPL-3.0,2016-12-20 21:44:21,2023-06-28 23:21:49,2022-08-22 18:53:04,78.0,,90.0,21.0,23.0,16.0,51.0,514.0,,,,,,7.0,,,,3.0,,,,,,,,,,,
92,Rust Trade,,bots-frameworks,https://github.com/Erio-Harrison/rust-trade,A quantitative trading system built with Rust.,11,True,['rust'],Erio-Harrison/rust-trade,,https://github.com/Erio-Harrison/rust-trade,MIT,2024-12-13 11:45:20,2026-01-14 00:52:16,2025-12-23 03:44:47,87.0,,83.0,6.0,2.0,,5.0,401.0,,,,,,,,,,3.0,,,,,,,,,,,
93,pykalshi,,libraries-api,https://github.com/arshka/pykalshi,Unofficial Python client for Kalshis prediction markets API.,10,False,['python'],ArshKA/kalshi-client,,https://github.com/arshka/pykalshi,MIT,2026-02-01 02:52:10,2026-03-19 00:34:51,2026-03-19 00:34:48,126.0,126.0,13.0,1.0,12.0,,2.0,65.0,,,,,,2.0,,,2146.0,3.0,,pykalshi,,arshka/pykalshi,https://pypi.org/project/pykalshi,2146.0,,,True,,
94,stocklook,,libraries-api,https://github.com/zbarge/stocklook,"crypto currency library for trading & market making bots, account management, and data analysis.",9,False,['python'],zbarge/stocklook,,https://github.com/zbarge/stocklook,MIT,2017-10-29 22:05:01,2018-06-22 03:20:37,2018-06-22 03:19:35,57.0,,38.0,17.0,3.0,6.0,1.0,172.0,,,,,,,,,,3.0,,,,,,,,,,,
95,Orderflow,,libraries-api,https://github.com/tiagosiebler/orderflow,An Orderflow trade aggregator that builds Footprint Candles by aggregating raw trades from Websockets. Supports..,9,False,['nodejs'],focus1691/orderflow,,https://github.com/tiagosiebler/orderflow,MIT,2023-08-13 22:25:27,2025-03-31 13:12:52,2025-03-31 13:12:52,206.0,,15.0,6.0,6.0,6.0,10.0,65.0,,,,,,8.0,,,,3.0,,,,tiagosiebler/orderflow,,,,,,,
96,QTradeX,,bots-frameworks,https://github.com/squidKid-deluxe/QTradeX-Algo-Trading-SDK,"AI-powered SDK featuring algorithmic trading, backtesting, deployment on 100+ exchanges, and multiple optimization..",9,False,['python'],squidKid-deluxe/QTradeX-Algo-Trading-SDK,,https://github.com/squidKid-deluxe/QTradeX-Algo-Trading-SDK,,2025-03-27 20:14:55,2026-01-13 19:43:04,2026-01-13 19:43:03,43.0,5.0,13.0,5.0,1.0,5.0,,60.0,2025-12-27 16:08:27,1.3.0,2.0,,,2.0,,,,3.0,,,,,,,,,,,
97,bTrader,,bots-frameworks,https://github.com/gabriel-milan/btrader,Triangle arbitrage trading bot for Binance.,8,False,['rust'],gabriel-milan/btrader,,https://github.com/gabriel-milan/btrader,GPL-3.0,2020-08-13 12:08:24,2021-05-30 18:29:56,2021-05-30 18:29:55,37.0,,68.0,14.0,1.0,,13.0,327.0,,,,,,2.0,,,,3.0,,,,,,,,,,,
98,KuCoin WS,,libraries-api,https://github.com/IOfate/kucoin-ws,Node.js websocket client for KuCoin.,7,False,['nodejs'],IOfate/kucoin-ws,,https://github.com/IOfate/kucoin-ws,MIT,2021-09-05 06:14:20,2024-09-24 00:45:15,2024-07-30 06:51:15,132.0,,4.0,2.0,13.0,1.0,3.0,8.0,2024-05-02 09:29:34,2.0.0,1.0,5.0,5.0,2.0,,,,3.0,,,,,,,,,,,
99,Pandas TA,,ta,{},,6,False,['python'],twopirllc/pandas-ta,,,,,,,,,,,,,,,,,,,,,,,1074245.0,3.0,,pandas_ta,,,https://pypi.org/project/pandas_ta,1074245.0,,,,,
100,BitPanda WS,,libraries-api,https://github.com/IOfate/bitpanda-ws,Node.js websocket client for BitPanda.,5,False,['nodejs'],IOfate/bitpanda-ws,,https://github.com/IOfate/bitpanda-ws,MIT,2021-07-18 21:06:31,2023-01-07 09:20:25,2022-08-09 12:18:51,22.0,,,1.0,3.0,,,6.0,,,,3.0,3.0,2.0,,,,3.0,,,,,,,,,,,
101,aio-kraken-ws,,libraries-api,https://gitlab.com/cdlr75/aio-kraken-ws,Get ohlc from kraken web sockets. Documentation https://cdlr75.gitlab.io/aio-kraken-ws.,0,False,['python'],,,,,2019-09-12 18:14:34,2019-09-12 18:14:34,,,,0.0,,,,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,cdlr75/aio-kraken-ws,https://gitlab.com/cdlr75/aio-kraken-ws
102,Mida,,bots-frameworks,{},,0,False,['nodejs'],Reiryoku-Technologies/Mida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Blackbird,,bots-frameworks,{},,0,False,['cplusplus'],butor/blackbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Cassandre trading bot,,bots-frameworks,,,0,False,['java'],cassandre-trading-bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Frostybot-JS,,libraries-api,{},,0,False,['nodejs'],CryptoMF/frostybot-js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,chart-patterns,,ta,{},"Technical analysis library providing Market Profile, Volume Profile, Stacked Imbalances and High Volume Node indicators.",0,False,['nodejs'],focus1691/chart-patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
