,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,pypi_id,conda_id,updated_github_id,pypi_url,pypi_monthly_downloads,conda_url,gitlab_id,gitlab_url
76,Fast Trade,,libraries-api,https://github.com/jrmeier/fast-trade,low code backtesting library utilizing pandas and technical analysis indicators.,14,True,['python'],jrmeier/fast-trade,,https://github.com/jrmeier/fast-trade,AGPL-3.0,2019-08-06 16:22:53,2025-09-05 20:06:38,2025-02-21 07:03:52,282.0,,53.0,10.0,20.0,1.0,6.0,511.0,2025-02-21 07:04:54,1.0.2,21.0,3.0,3.0,5.0,,,,3.0,,,,,,,,,,
77,Magic8bot,,bots-frameworks,https://github.com/magic8bot/magic8bot,Magic8bot is a cryptocurrency trading bot using Node.js and MongoDB.,14,False,['nodejs'],magic8bot/magic8bot,,https://github.com/magic8bot/magic8bot,MIT,2018-07-09 13:27:43,2023-03-04 04:08:38,2020-12-26 14:42:48,164.0,,80.0,33.0,87.0,1.0,186.0,393.0,,,,,,6.0,,,,3.0,,,,,,,,,,
78,WolfBot,,bots-frameworks,https://github.com/Ekliptor/WolfBot,Crypto currency trading bot written in TypeScript for NodeJS.,13,False,['nodejs'],Ekliptor/WolfBot,,https://github.com/Ekliptor/WolfBot,AGPL-3.0,2018-04-23 00:45:12,2023-02-17 02:36:27,2023-02-17 02:36:23,542.0,,213.0,41.0,74.0,4.0,58.0,767.0,,,,,,12.0,,,,3.0,,,,,,,,,,
79,Technical Analysis for Rust,,ta,https://github.com/greyblake/ta-rs,Technical analysis library for Rust language.,11,False,['rust'],greyblake/ta-rs,,https://github.com/greyblake/ta-rs,MIT,2017-09-29 21:53:18,2024-07-12 15:51:05,2022-10-21 19:51:03,208.0,,138.0,20.0,49.0,11.0,16.0,811.0,,,,,,13.0,,,,3.0,,,,,,,,,,
80,TriangularArbitrage,,bots-frameworks,https://github.com/tiagosiebler/TriangularArbitrage,Detect triangular arbitrage opportunities within Binance price tickers.,11,False,['nodejs'],tiagosiebler/TriangularArbitrage,,https://github.com/tiagosiebler/TriangularArbitrage,,2017-12-31 18:04:02,2024-02-27 03:22:40,2023-01-24 11:30:58,65.0,,186.0,53.0,17.0,7.0,50.0,608.0,,,,,,6.0,,,,3.0,,,,,,,,,,
81,Wolfinch,,bots-frameworks,https://github.com/wolfinch/wolfinch,Wolfinch is your friendly trader Bot written in Python.,11,False,['python'],ldmonko/wolfinch,,https://github.com/wolfinch/wolfinch,GPL-3.0,2018-01-12 06:25:09,2025-07-26 07:08:23,2021-03-04 03:20:57,659.0,,52.0,11.0,7.0,6.0,17.0,271.0,2020-07-12 22:31:10,1.1.1,1.0,,,6.0,,,,3.0,,,,,wolfinch/wolfinch,,,,,
82,Tulip Node,,ta,https://github.com/TulipCharts/tulipnode,Tulip Node is the official node.js wrapper for Tulip Indicators. It provides over 100 technical analysis overlay and..,10,False,['nodejs'],TulipCharts/tulipnode,,https://github.com/TulipCharts/tulipnode,LGPL-3.0,2016-12-20 21:44:21,2023-06-28 23:21:49,2022-08-22 18:53:04,78.0,,91.0,20.0,23.0,16.0,51.0,511.0,,,,,,7.0,,,,3.0,,,,,,,,,,
83,stocklook,,libraries-api,https://github.com/zbarge/stocklook,"crypto currency library for trading & market making bots, account management, and data analysis.",9,False,['python'],zbarge/stocklook,,https://github.com/zbarge/stocklook,MIT,2017-10-29 22:05:01,2018-06-22 03:20:37,2018-06-22 03:19:35,57.0,,38.0,16.0,3.0,6.0,1.0,172.0,,,,,,,,,,3.0,,,,,,,,,,
84,Orderflow,,libraries-api,https://github.com/tiagosiebler/orderflow,An Orderflow trade aggregator that builds Footprint Candles by aggregating raw trades from Websockets. Supports..,9,False,['nodejs'],focus1691/orderflow,,https://github.com/tiagosiebler/orderflow,MIT,2023-08-13 22:25:27,2025-03-31 13:12:52,2025-03-31 13:12:52,206.0,,12.0,6.0,6.0,6.0,10.0,53.0,,,,,,5.0,,,,3.0,,,,,tiagosiebler/orderflow,,,,,
85,bTrader,,bots-frameworks,https://github.com/gabriel-milan/btrader,Triangle arbitrage trading bot for Binance.,8,False,['rust'],gabriel-milan/btrader,,https://github.com/gabriel-milan/btrader,GPL-3.0,2020-08-13 12:08:24,2021-05-30 18:29:56,2021-05-30 18:29:55,37.0,,68.0,14.0,1.0,,13.0,326.0,,,,,,2.0,,,,3.0,,,,,,,,,,
86,QTradeX,,bots-frameworks,https://github.com/squidKid-deluxe/QTradeX-Algo-Trading-SDK,"AI-powered SDK featuring algorithmic trading, backtesting, deployment on 100+ exchanges, and multiple optimization..",8,False,['python'],squidKid-deluxe/QTradeX-Algo-Trading-SDK,,https://github.com/squidKid-deluxe/QTradeX-Algo-Trading-SDK,,2025-03-27 20:14:55,2025-10-26 20:14:59,2025-10-26 20:14:19,36.0,7.0,8.0,4.0,,5.0,,47.0,2025-10-26 20:14:59,1.2.0,1.0,,,2.0,,,,3.0,1.0,,,,,,,,,
87,KuCoin WS,,libraries-api,https://github.com/IOfate/kucoin-ws,Node.js websocket client for KuCoin.,7,False,['nodejs'],IOfate/kucoin-ws,,https://github.com/IOfate/kucoin-ws,MIT,2021-09-05 06:14:20,2024-09-24 00:45:15,2024-07-30 06:51:15,132.0,,4.0,2.0,13.0,1.0,3.0,8.0,2024-05-02 09:29:34,2.0.0,1.0,5.0,5.0,2.0,,,,3.0,,,,,,,,,,
88,BitPanda WS,,libraries-api,https://github.com/IOfate/bitpanda-ws,Node.js websocket client for BitPanda.,5,False,['nodejs'],IOfate/bitpanda-ws,,https://github.com/IOfate/bitpanda-ws,MIT,2021-07-18 21:06:31,2023-01-07 09:20:25,2022-08-09 12:18:51,22.0,,,1.0,3.0,,,6.0,,,,3.0,3.0,2.0,,,,3.0,,,,,,,,,,
89,Pandas TA,,ta,{},,5,False,['python'],twopirllc/pandas-ta,,,,,,,,,,,,,,,,,,,,,,,294455.0,3.0,,,pandas_ta,,,https://pypi.org/project/pandas_ta,294455.0,,,
90,aio-kraken-ws,,libraries-api,https://gitlab.com/cdlr75/aio-kraken-ws,Get ohlc from kraken web sockets. Documentation https://cdlr75.gitlab.io/aio-kraken-ws.,0,False,['python'],,,,,2019-09-12 18:14:34,2019-09-12 18:14:34,,,,0.0,,,,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,cdlr75/aio-kraken-ws,https://gitlab.com/cdlr75/aio-kraken-ws
91,Mida,,bots-frameworks,{},,0,False,['nodejs'],Reiryoku-Technologies/Mida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Blackbird,,bots-frameworks,{},,0,False,['cplusplus'],butor/blackbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Cassandre trading bot,,bots-frameworks,,,0,False,['java'],cassandre-trading-bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Frostybot-JS,,libraries-api,{},,0,False,['nodejs'],CryptoMF/frostybot-js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,chart-patterns,,ta,{},"Technical analysis library providing Market Profile, Volume Profile, Stacked Imbalances and High Volume Node indicators.",0,False,['nodejs'],focus1691/chart-patterns,,,,,,,,,,,,,,,,,,,,,,,,,-11.0,,,,,,,,,
