,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,pypi_url,pypi_monthly_downloads,github_release_downloads,trending,conda_id,updated_github_id,conda_url,gitlab_id,gitlab_url
63,Blackbird,,bots-frameworks,https://github.com/butor/blackbird,Blackbird Bitcoin Arbitrage: a long/short market-neutral strategy.,18,False,['cplusplus'],butor/blackbird,,https://github.com/butor/blackbird,MIT,2015-03-09 00:21:13,2022-07-28 00:07:14,2020-08-26 13:59:01,514.0,,1028.0,392.0,95.0,217.0,231.0,5696.0,,,46.0,,,,3.0,,,,,,,,,,,,,
64,Crypto Signal,,bots-frameworks,https://github.com/CryptoSignal/Crypto-Signal,"Github.com/CryptoSignal - Trading & Technical Analysis Bot - 4,100+ stars, 1,100+ forks.",18,True,['python'],CryptoSignal/Crypto-Signal,,https://github.com/CryptoSignal/Crypto-Signal,MIT,2017-09-16 23:49:24,2022-12-14 05:20:03,2022-08-09 13:26:32,565.0,,1079.0,305.0,202.0,53.0,205.0,4334.0,,,28.0,,,,3.0,,,,,,,,,,,,,
65,Crypto Trading Bot,,bots-frameworks,https://github.com/Haehnchen/crypto-trading-bot,"Cryptocurrency trading bot in javascript for Bitfinex, Bitmex, Binance, Bybit ... (public edition).",18,True,['nodejs'],Haehnchen/crypto-trading-bot,,https://github.com/Haehnchen/crypto-trading-bot,MIT,2018-09-25 15:48:11,2023-01-24 14:14:22,2023-01-09 18:34:47,906.0,17.0,822.0,176.0,133.0,101.0,99.0,2766.0,,,16.0,,,,3.0,,,,,,,,,,,,,
66,Node Binance Trader NBT,,bots-frameworks,https://github.com/bitcoinvsalts/node-binance-trader,Cryptocurrency Trading Strategy & Portfolio Management Development Framework for Binance.,18,True,['nodejs'],bitcoinvsalts/node-binance-trader,,https://github.com/bitcoinvsalts/node-binance-trader,MIT,2018-01-17 21:32:47,2023-01-24 03:20:20,2023-01-24 03:20:17,514.0,3.0,369.0,89.0,72.0,3.0,58.0,1109.0,,,27.0,,,2.0,3.0,2022-04-19 22:57:14,0.6.0,12.0,,,,123.0,,,,,,
67,Kelp,,bots-frameworks,https://github.com/stellar/kelp,Kelp is a free and open-source trading bot for the Stellar DEX and 100+ centralized exchanges.,18,False,['go'],stellar/kelp,,https://github.com/stellar/kelp,,2018-08-08 23:31:18,2022-12-10 17:12:39,2021-11-26 23:51:20,833.0,,220.0,59.0,329.0,150.0,289.0,985.0,,,15.0,,,2691.0,3.0,2021-11-05 20:56:13,1.12.0,25.0,,,,148008.0,,,,,,
68,binance-java-api,,libraries-api,https://github.com/binance-exchange/binance-java-api,"binance-java-api is a lightweight Java library for the Binance API, supporting synchronous and asynchronous requests,..",17,False,['java'],binance-exchange/binance-java-api,,https://github.com/binance-exchange/binance-java-api,MIT,2017-10-20 11:23:10,2023-01-03 18:02:12,2021-06-25 22:24:51,208.0,,618.0,97.0,134.0,113.0,184.0,812.0,,,43.0,,,,3.0,,,,,,,,,,,,,
69,pyti,,ta,https://github.com/kylejusticemagnuson/pyti,Python library of various financial technical indicators.,17,False,['python'],kylejusticemagnuson/pyti,,https://github.com/kylejusticemagnuson/pyti,MIT,2017-02-09 00:14:18,2020-10-21 17:22:54,2018-05-08 15:00:01,130.0,,161.0,50.0,15.0,12.0,8.0,637.0,144.0,144.0,5.0,,,,3.0,2018-05-08 15:21:50,0.2.2,7.0,,,,,,,,,,
70,ftx-api,,libraries-api,https://github.com/tiagosiebler/ftx-api,"Node.js connector for the FTX.com & FTX.us APIs and WebSockets, with TypeScript & browser support.",16,True,['nodejs'],tiagosiebler/ftx-api,,https://github.com/tiagosiebler/ftx-api,MIT,2021-03-14 12:57:46,2023-03-14 15:33:38,2022-11-29 09:32:49,152.0,,50.0,1.0,67.0,1.0,33.0,123.0,96.0,96.0,14.0,,,,3.0,2021-05-07 19:50:59,1.0.9,4.0,,,,,,,,,,
71,Qt Bitcoin Trader,,bots-frameworks,https://github.com/JulyIghor/QtBitcoinTrader,Secure multi crypto exchange trading client.,15,False,['cplusplus'],JulyIghor/QtBitcoinTrader,,https://github.com/JulyIghor/QtBitcoinTrader,,2013-05-14 21:16:29,2022-12-31 05:16:06,2022-12-31 04:43:42,314.0,1.0,336.0,101.0,40.0,50.0,192.0,672.0,,,11.0,,,,3.0,2022-12-31 05:16:06,1.42.10,39.0,,,,,,,,,,
72,binance-api-node,,libraries-api,https://github.com/binance-exchange/binance-api-node,A complete and heavily tested API wrapper for the Binance API.,15,False,['nodejs'],binance-exchange/binance-api-node,,https://github.com/binance-exchange/binance-api-node,,2017-11-06 08:42:59,2023-03-24 16:04:09,2023-03-24 16:03:58,498.0,6.0,168.0,44.0,26.0,,,564.0,,,101.0,,,,3.0,2018-03-09 22:50:04,0.7.1,4.0,,,,,,,,,,
73,crypto-exchanges-gateway,,libraries-api,https://github.com/aloysius-pgast/crypto-exchanges-gateway,Your gateway to the world of crypto !.,15,False,['nodejs'],aloysius-pgast/crypto-exchanges-gateway,,https://github.com/aloysius-pgast/crypto-exchanges-gateway,,2017-09-15 12:25:00,2023-02-05 11:21:42,2022-10-08 23:07:52,569.0,,135.0,46.0,111.0,2.0,40.0,558.0,,,4.0,,,,3.0,2022-10-08 23:10:23,1.13.1,43.0,,,,,,,,,,
74,Magic8bot,,bots-frameworks,https://github.com/magic8bot/magic8bot,Magic8bot is a cryptocurrency trading bot using Node.js and MongoDB.,15,False,['nodejs'],magic8bot/magic8bot,,https://github.com/magic8bot/magic8bot,MIT,2018-07-09 13:27:43,2023-03-04 04:08:38,2020-12-26 14:42:48,164.0,,72.0,32.0,87.0,,186.0,317.0,,,6.0,,,,3.0,,,,,,,,,,,,,
