,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,trending,pypi_id,pypi_url,pypi_monthly_downloads,github_release_downloads,conda_id,updated_github_id,conda_url,gitlab_id,gitlab_url
14,Algorithmic Trading and DMA,True,books,https://a.co/d/htjHUd6,An introduction to direct access trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Building Winning Algorithmic Trading Systems,True,books,https://a.co/d/401HtW6,A Traders Journey From Data Mining to Monte Carlo Simulation to Live Trading (Wiley Trading) 1st Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Python for Finance,True,books,https://a.co/d/fvl0twW,Mastering Data-Driven Finance 2nd Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Technical Analysis Explained, Fifth Edition",True,books,https://a.co/d/7FTaLDf,The Successful Investors Guide to Spotting Investment Trends and Turning Points 5th Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Quantitative Investing,True,books,https://a.co/d/irZteKp,Strategies to exploit stock market anomalies for all investors.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Part Time Larry,True,youtube,https://www.youtube.com/@parttimelarry,"Write programs to analyze, visualize, integrate, and utilize market data, APIs, and financial services.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Moon Dev,True,youtube,https://www.youtube.com/@moondevonyt,I like coding & finance a lot and i really love teaching!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Coding Jesus,True,youtube,https://www.youtube.com/@CodingJesus,Channels purpose is to shine a positive light on the often difficult to navigate world of algorithmic trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,The Art of Trading,True,youtube,https://www.youtube.com/@TheArtofTrading,"Strategy creation, Pine Script coding and of course my personal favorite - trading psychology.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Algo Trading With Kevin Davey,True,youtube,https://www.youtube.com/@AlgoTradingWithKevinDavey,"Futures trading, trading systems, trading strategies and also intermediate and advanced level topics in the algo world.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Algo-trading with Saleh,True,youtube,https://www.youtube.com/@saleh.m,Practical tutorials about algo-trading with Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TradeSmart,True,youtube,https://www.youtube.com/@TradeSmart22,Backtesting and optimizing day trading strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EcoEngineering,True,youtube,https://www.youtube.com/@ecoengineering7535,Algorithmic trading and optimizing the trading strategies by using MQL and Python languages.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Algorithmic Trading A-Z with Python, Machine Learning & AWS",True,courses,https://www.udemy.com/course/algorithmic-trading-with-python-and-machine-learning/,"Build your own truly Data-driven Day Trading Bot | Learn how to create, test, implement & automate unique Strategies.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Investment Management with Python and Machine Learning Specialization,True,courses,https://www.coursera.org/specializations/investment-management-python-machine-learning,Write custom Python code and use existing Python libraries to build and analyse efficient portfolio strategies.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Algorithmic Trading on KiteConnect Platform,True,courses,https://www.udemy.com/course/algorithmic-trading-on-zerodha-kiteconnect-platform/,Design and deploy trading strategies on Kiteconnect platform.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Complete algorithmic forex trading and back testing system,True,courses,https://www.udemy.com/course/complete-algorthmic-forex-trading-and-back-testing-system/,"Develop robust systems for trading, backtesting, web scraping and web application development.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Algorithmic Trading & Quantitative Analysis Using Python,True,courses,https://www.udemy.com/course/algorithmic-trading-quantitative-analysis-using-python/,Build fully automated trading system and Implement quantitative trading strategies using Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Technical Analysis with Python for Algorithmic Trading,True,courses,https://www.udemy.com/course/technical-analysis-with-python-for-algorithmic-trading/,"Use Technical Analysis and Indicators for (Day) Trading. Create, backtest and optimize TA Trading Strategies with..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cryptocurrency Algorithmic Trading with Python and Binance,True,courses,https://www.udemy.com/course/cryptocurrency-algorithmic-trading-with-python-and-binance/,Create powerful Trading Strategies and fully automated AWS Trading Bots for Bitcoin & co. | Spot and Futures Trading.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Forex Algorithmic Trading Course: Code a Forex Robot!,True,courses,https://www.udemy.com/course/forex-algorithmic-trading-course-code-a-forex-robot/,Build a Completely Automated Trading Robot (Expert Advisor) from scratch using MQL4 (MetaQuotes Language 4)!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Node.js Algo Traders,True,communities,https://t.me/nodetraders,Collaborate in the world of algo trading with fellow Node.js/JavaScript/TypeScript developers. From custom scripts to..,0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Algotrading Crypto,True,communities,https://t.me/algotradingcrypto,"Ideas, tools, strategies discussion.",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PineScripters,True,communities,https://t.me/pinescripters,"The biggest and most active independent community of TradingView programmers in the world, a place to share ideas,..",0,True,['telegram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CCXT,,libraries-api,https://github.com/ccxt/ccxt,A JavaScript / Python / PHP cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges.,41,True,"['python', 'nodejs', 'php']",ccxt/ccxt,ccxt,https://github.com/ccxt/ccxt,MIT,2017-05-14 15:41:56,2023-04-20 18:06:05,2023-04-20 18:01:47,72262.0,3189.0,6451.0,939.0,9015.0,725.0,7786.0,27959.0,4083.0,4083.0,732.0,https://www.npmjs.com/package/ccxt,97773.0,97773.0,1.0,,,,,,,,,,,,,
39,python-binance,,libraries-api,https://github.com/sammchardy/python-binance,Binance Exchange API python implementation for automated trading.,32,True,['python'],sammchardy/python-binance,,https://github.com/sammchardy/python-binance,MIT,2017-08-14 12:09:45,2023-04-19 02:16:19,2023-04-19 02:16:19,1246.0,41.0,1650.0,212.0,264.0,444.0,602.0,5179.0,5802.0,5802.0,152.0,,,,1.0,2023-02-22 03:17:14,1.0.17,7.0,1.0,,,,,,,,,
40,Freqtrade,,bots-frameworks,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot.",30,True,['python'],freqtrade/freqtrade,,https://github.com/freqtrade/freqtrade,GPL-3.0,2017-05-17 23:48:53,2023-04-20 17:47:09,2023-04-19 18:20:29,20605.0,1091.0,4427.0,589.0,4732.0,40.0,3719.0,21380.0,,,300.0,,,,1.0,2023-03-31 05:09:43,2023.3,69.0,,,,,,,,,,
41,Pandas TA,,ta,https://github.com/twopirllc/pandas-ta,Technical Analysis Indicators - Pandas TA is an easy to use Python 3 Pandas Extension with 130+ Indicators.,30,True,['python'],twopirllc/pandas-ta,,https://github.com/twopirllc/pandas-ta,MIT,2019-02-19 16:41:09,2023-04-19 04:51:48,2022-09-24 16:20:26,585.0,,745.0,87.0,185.0,96.0,387.0,3554.0,2891.0,2891.0,45.0,,,76923.0,1.0,2021-07-28 20:21:21,0.3.14,5.0,,pandas_ta,https://pypi.org/project/pandas_ta,76923.0,,,,,,
42,Gekko,,bots-frameworks,https://github.com/askmike/gekko,A bitcoin trading bot written in node - https://gekko.wizb.it/.,29,False,['nodejs'],askmike/gekko,,https://github.com/askmike/gekko,MIT,2013-05-12 22:52:01,2020-02-16 14:25:26,2020-02-16 14:25:21,2613.0,,3783.0,709.0,791.0,,2092.0,9928.0,354.0,354.0,222.0,,,,1.0,2018-12-02 22:33:57,0.6.8,16.0,,,,,,,,,,
43,Hummingbot,,bots-frameworks,https://github.com/hummingbot/hummingbot,Hummingbot is open source software that helps you build trading bots that run on any exchange or blockchain.,28,True,['python'],hummingbot/hummingbot,,https://github.com/hummingbot/hummingbot,Apache-2.0,2019-04-02 21:41:52,2023-04-20 18:02:26,2023-03-31 04:44:26,19196.0,448.0,1890.0,130.0,3500.0,343.0,2390.0,5714.0,,,211.0,,,0.0,1.0,2023-03-31 14:12:31,1.14.0,77.0,,,,,30.0,,,,,
44,Technical Analysis Library in Python,,ta,https://github.com/bukosabino/ta,Technical Analysis Library using Pandas and Numpy.,28,True,['python'],bukosabino/ta,,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48,2023-03-23 23:25:10,2022-08-23 15:59:41,615.0,,761.0,149.0,114.0,106.0,98.0,3569.0,1952.0,1952.0,29.0,,,84797.0,1.0,,,,,ta,https://pypi.org/project/ta,84797.0,,,,,,
45,Lean,,bots-frameworks,https://github.com/QuantConnect/Lean,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#).",27,True,"['python', 'csharp']",QuantConnect/Lean,,https://github.com/QuantConnect/Lean,Apache-2.0,2014-11-28 04:20:19,2023-04-20 15:35:19,2023-04-20 14:24:19,11827.0,181.0,2708.0,405.0,4339.0,243.0,2586.0,7360.0,,,186.0,,,,2.0,2017-08-08 20:57:57,2.4.0.1,8.0,,,,,,,,,,
46,Superalgos,,bots-frameworks,https://github.com/Superalgos/Superalgos,"Free, open-source crypto trading bot, automated bitcoin / cryptocurrency trading software, algorithmic trading bots...",27,True,['nodejs'],Superalgos/Superalgos,,https://github.com/Superalgos/Superalgos,Apache-2.0,2019-08-12 17:34:43,2023-04-20 14:54:39,2022-12-29 18:56:02,21645.0,,4942.0,196.0,4395.0,66.0,368.0,3309.0,,,210.0,,,231.0,2.0,2022-11-28 01:24:53,Superalgos-v.1.3.0,35.0,,,,,8319.0,,,,,
47,backtrader,,libraries-api,https://github.com/mementum/backtrader,Python Backtesting library for trading strategies.,25,True,['python'],mementum/backtrader,,https://github.com/mementum/backtrader,GPL-3.0,2015-01-10 07:14:52,2023-04-19 14:14:56,2023-04-19 14:13:08,2404.0,18.0,3034.0,576.0,210.0,,,10471.0,1446.0,1446.0,56.0,,,,1.0,,,,1.0,,,,,,,,,
48,Node Binance API,,libraries-api,https://github.com/jaggedsoft/node-binance-api,Node Binance API is an asynchronous node.js library for the Binance API designed to be easy to use.,25,False,['nodejs'],jaggedsoft/node-binance-api,,https://github.com/jaggedsoft/node-binance-api,MIT,2017-10-05 22:15:44,2023-04-12 13:05:09,2021-11-24 02:14:28,1009.0,,588.0,63.0,222.0,252.0,396.0,1513.0,2310.0,2310.0,94.0,,,,1.0,2021-08-15 16:08:42,0.13.0,99.0,1.0,,,,,,,,,
49,Node.js & Typescript Binance API SDK,,libraries-api,https://github.com/tiagosiebler/binance,"Node.js SDK for the Binance APIs and WebSockets, with TypeScript & browser support, integration tests, beautification..",25,True,['nodejs'],tiagosiebler/binance,binance,https://github.com/tiagosiebler/binance,MIT,2017-08-15 14:28:56,2023-04-20 12:13:07,2023-04-20 12:13:04,493.0,52.0,200.0,27.0,172.0,26.0,125.0,576.0,842.0,842.0,46.0,https://www.npmjs.com/package/binance,7430.0,7430.0,1.0,,,,-1.0,,,,,,,,,
50,Zenbot,,bots-frameworks,https://github.com/DeviaVir/zenbot,Zenbot is a command-line cryptocurrency trading bot using Node.js and MongoDB.,24,False,['nodejs'],DeviaVir/zenbot,,https://github.com/DeviaVir/zenbot,MIT,2016-06-27 04:38:18,2022-02-14 16:11:27,2022-02-14 16:11:27,3885.0,,2012.0,474.0,1654.0,290.0,883.0,8196.0,,,199.0,,,,2.0,2018-10-01 10:01:43,4.1.4,4.0,,,,,,,,,,
51,TA-Lib,,ta,https://github.com/TA-Lib/ta-lib-python,Python wrapper for TA-Lib (http://ta-lib.org/).,24,True,['python'],mrjbq7/ta-lib,,https://github.com/TA-Lib/ta-lib-python,,2012-03-23 17:14:15,2023-04-13 18:37:39,2023-04-13 18:37:39,582.0,14.0,1468.0,319.0,74.0,182.0,336.0,7712.0,,,28.0,,,74278.0,2.0,,,,,TA-Lib,https://pypi.org/project/TA-Lib,74278.0,,ta-lib,TA-Lib/ta-lib-python,https://anaconda.org/anaconda/ta-lib,,
52,OctoBot,,bots-frameworks,https://github.com/Drakkar-Software/OctoBot,Cryptocurrency trading bot using technical analysis based strategy with an advanced web interface.,24,True,['python'],Drakkar-Software/OctoBot,,https://github.com/Drakkar-Software/OctoBot,GPL-3.0,2018-02-23 23:13:05,2023-04-19 12:00:33,2023-04-19 09:20:51,4388.0,151.0,532.0,102.0,1569.0,68.0,643.0,2032.0,,,25.0,,,65.0,2.0,2023-04-19 14:27:53,0.4.48,86.0,,,,,3859.0,,,,,
53,FinTA (Financial Technical Analysis),,ta,https://github.com/peerchemist/finta,Common financial technical indicators implemented in Pandas.,23,True,['python'],peerchemist/finta,,https://github.com/peerchemist/finta,LGPL-3.0,2016-09-01 21:02:46,2022-07-24 08:40:51,2022-07-24 08:40:51,394.0,,610.0,82.0,48.0,22.0,64.0,1883.0,347.0,347.0,28.0,,,7499.0,2.0,2021-04-03 08:51:49,1.3,18.0,,finta,https://pypi.org/project/finta,7499.0,,,,,,
54,ta4j,,ta,https://github.com/ta4j/ta4j,A Java library for technical analysis.,23,False,['java'],ta4j/ta4j,,https://github.com/ta4j/ta4j,,2017-09-14 17:14:32,2023-04-19 13:26:53,2023-04-17 17:19:17,1269.0,27.0,602.0,113.0,503.0,38.0,426.0,1761.0,327.0,327.0,77.0,,,5.0,2.0,2022-09-11 14:54:35,0.15,2.0,1.0,,,,133.0,,,,,
55,Node.js & Typescript Bybit API SDK,,libraries-api,https://github.com/tiagosiebler/bybit-api,"Node.js SDK for the Bybit APIs and WebSockets, with TypeScript & browser support.",23,True,['nodejs'],tiagosiebler/bybit-api,bybit-api,https://github.com/tiagosiebler/bybit-api,MIT,2020-07-21 09:53:38,2023-04-17 20:37:45,2023-04-13 11:42:26,666.0,75.0,53.0,7.0,159.0,14.0,77.0,145.0,124.0,124.0,21.0,https://www.npmjs.com/package/bybit-api,7327.0,7327.0,2.0,2022-09-19 23:37:03,3.0.1,9.0,,,,,,,,,,
56,Catalyst,,libraries-api,https://github.com/scrtlabs/catalyst,An Algorithmic Trading Library for Crypto-Assets in Python.,22,False,['python'],scrtlabs/catalyst,,https://github.com/scrtlabs/catalyst,Apache-2.0,2017-06-13 22:31:34,2022-11-26 14:07:55,2021-09-22 15:31:55,6364.0,,707.0,165.0,94.0,124.0,358.0,2415.0,25.0,25.0,149.0,,,,2.0,,,,,,,,,,,,,
57,CryptoCurrency eXchange WebSockets,,libraries-api,https://github.com/altangent/ccxws,WebSocket client for 38 cryptocurrency exchanges.,21,False,['nodejs'],altangent/ccxws,,https://github.com/altangent/ccxws,MIT,2018-04-13 21:46:54,2023-03-04 02:38:34,2021-10-08 13:00:02,875.0,,166.0,22.0,150.0,52.0,118.0,605.0,106.0,106.0,32.0,,,,2.0,2021-10-08 13:03:00,0.47.0,65.0,,,,,,,,,,
58,TechnicalIndicators,,ta,https://github.com/anandanand84/technicalindicators,A javascript technical indicators written in typescript with pattern recognition right in the browser.,20,False,['js'],anandanand84/technicalindicators,,https://github.com/anandanand84/technicalindicators,MIT,2016-05-02 19:16:32,2022-11-03 08:42:59,2020-03-16 01:15:10,316.0,,483.0,92.0,63.0,75.0,127.0,1944.0,1026.0,1026.0,17.0,,,,3.0,2018-09-26 14:22:17,2.0,1.0,,,,,,,,,,
59,Block Atlas by Trust Wallet,,libraries-api,https://github.com/trustwallet/blockatlas,Clean and lightweight cross-chain transaction API.,20,False,['go'],trustwallet/blockatlas,,https://github.com/trustwallet/blockatlas,MIT,2019-03-13 04:30:13,2022-03-16 08:35:35,2022-03-16 08:35:31,1187.0,,208.0,34.0,957.0,,486.0,359.0,11.0,11.0,44.0,,,0.0,2.0,2020-11-24 01:11:06,1.1.14,37.0,,,,,39.0,,,,,
60,Jesse,,bots-frameworks,https://github.com/jesse-ai/jesse,An advanced crypto trading bot written in Python.,19,True,['python'],jesse-ai/jesse,,https://github.com/jesse-ai/jesse,MIT,2018-11-09 10:38:44,2023-04-19 15:29:12,2023-04-19 15:29:07,2051.0,1.0,580.0,190.0,297.0,,,4588.0,22.0,22.0,43.0,,,,2.0,,,,,,,,,,,,,
61,K,,bots-frameworks,https://github.com/ctubio/Krypto-trading-bot,Self-hosted crypto trading bot (automated high frequency market making) written in C++.,19,False,['cplusplus'],ctubio/Krypto-trading-bot,,https://github.com/ctubio/Krypto-trading-bot,,2017-06-13 20:15:54,2022-09-18 23:11:54,2021-12-08 19:01:54,5345.0,,753.0,237.0,117.0,70.0,945.0,3025.0,,,56.0,,,61.0,2.0,2021-01-15 05:27:12,0.6.x,5.0,,,,,4327.0,,,,,
62,Blackbird,,bots-frameworks,https://github.com/butor/blackbird,Blackbird Bitcoin Arbitrage: a long/short market-neutral strategy.,18,False,['cplusplus'],butor/blackbird,,https://github.com/butor/blackbird,MIT,2015-03-09 00:21:13,2022-07-28 00:07:14,2020-08-26 13:59:01,514.0,,1029.0,391.0,95.0,218.0,231.0,5706.0,,,46.0,,,,3.0,,,,,,,,,,,,,
63,Crypto Signal,,bots-frameworks,https://github.com/CryptoSignal/Crypto-Signal,"Github.com/CryptoSignal - Trading & Technical Analysis Bot - 4,100+ stars, 1,100+ forks.",18,True,['python'],CryptoSignal/Crypto-Signal,,https://github.com/CryptoSignal/Crypto-Signal,MIT,2017-09-16 23:49:24,2022-12-14 05:20:03,2022-08-09 13:26:32,565.0,,1078.0,306.0,202.0,53.0,205.0,4354.0,,,28.0,,,,3.0,,,,,,,,,,,,,
64,Kelp,,bots-frameworks,https://github.com/stellar/kelp,Kelp is a free and open-source trading bot for the Stellar DEX and 100+ centralized exchanges.,18,False,['go'],stellar/kelp,,https://github.com/stellar/kelp,,2018-08-08 23:31:18,2022-12-10 17:12:39,2021-11-26 23:51:20,833.0,,220.0,63.0,329.0,150.0,289.0,985.0,1.0,1.0,15.0,,,2699.0,3.0,2021-11-05 20:56:13,1.12.0,25.0,,,,,151177.0,,,,,
65,Mida,,bots-frameworks,https://github.com/Reiryoku-Technologies/Mida,The open-source and cross-platform trading framework.,18,True,['nodejs'],Reiryoku-Technologies/Mida,,https://github.com/Reiryoku-Technologies/Mida,MIT,2020-09-21 19:13:08,2023-03-13 21:37:45,2023-03-13 21:37:30,851.0,8.0,28.0,14.0,58.0,17.0,23.0,287.0,21.0,21.0,4.0,,,,3.0,2023-03-13 21:38:36,2023.1.2,18.0,-1.0,,,,,,,,,
66,Node Binance Trader NBT,,bots-frameworks,https://github.com/bitcoinvsalts/node-binance-trader,Cryptocurrency Trading Strategy & Portfolio Management Development Framework for Binance.,17,True,['nodejs'],bitcoinvsalts/node-binance-trader,,https://github.com/bitcoinvsalts/node-binance-trader,MIT,2018-01-17 21:32:47,2023-01-24 03:20:20,2023-01-24 03:20:17,514.0,3.0,371.0,89.0,72.0,3.0,58.0,1109.0,,,27.0,,,2.0,3.0,2022-04-19 22:57:14,0.6.0,12.0,,,,,125.0,,,,,
67,binance-java-api,,libraries-api,https://github.com/binance-exchange/binance-java-api,"binance-java-api is a lightweight Java library for the Binance API, supporting synchronous and asynchronous requests,..",17,False,['java'],binance-exchange/binance-java-api,,https://github.com/binance-exchange/binance-java-api,MIT,2017-10-20 11:23:10,2023-04-14 22:22:22,2021-06-25 22:24:51,208.0,,621.0,97.0,136.0,113.0,184.0,820.0,,,43.0,,,,3.0,,,,1.0,,,,,,,,,
68,pyti,,ta,https://github.com/kylejusticemagnuson/pyti,Python library of various financial technical indicators.,17,False,['python'],kylejusticemagnuson/pyti,,https://github.com/kylejusticemagnuson/pyti,MIT,2017-02-09 00:14:18,2020-10-21 17:22:54,2018-05-08 15:00:01,130.0,,161.0,50.0,15.0,12.0,8.0,637.0,147.0,147.0,5.0,,,,3.0,2018-05-08 15:21:50,0.2.2,7.0,,,,,,,,,,
69,Crypto Trading Bot,,bots-frameworks,https://github.com/Haehnchen/crypto-trading-bot,"Cryptocurrency trading bot in javascript for Bitfinex, Bitmex, Binance, Bybit ... (public edition).",16,True,['nodejs'],Haehnchen/crypto-trading-bot,,https://github.com/Haehnchen/crypto-trading-bot,MIT,2018-09-25 15:48:11,2023-01-24 14:14:22,2023-01-09 18:34:47,906.0,,824.0,176.0,133.0,101.0,99.0,2781.0,,,16.0,,,,3.0,,,,,,,,,,,,,
70,Qt Bitcoin Trader,,bots-frameworks,https://github.com/JulyIghor/QtBitcoinTrader,Secure multi crypto exchange trading client.,16,False,['cplusplus'],JulyIghor/QtBitcoinTrader,,https://github.com/JulyIghor/QtBitcoinTrader,,2013-05-14 21:16:29,2022-12-31 05:16:06,2022-12-31 04:43:42,314.0,,337.0,102.0,40.0,50.0,192.0,672.0,,,11.0,,,,3.0,2022-12-31 05:16:06,1.42.10,39.0,,,,,,,,,,
71,ftx-api,,libraries-api,https://github.com/tiagosiebler/ftx-api,"Node.js connector for the FTX.com & FTX.us APIs and WebSockets, with TypeScript & browser support.",16,True,['nodejs'],tiagosiebler/ftx-api,,https://github.com/tiagosiebler/ftx-api,MIT,2021-03-14 12:57:46,2023-03-14 15:33:38,2022-11-29 09:32:49,152.0,,50.0,1.0,67.0,1.0,33.0,124.0,99.0,99.0,14.0,,,,3.0,2021-05-07 19:50:59,1.0.9,4.0,,,,,,,,,,
72,binance-api-node,,libraries-api,https://github.com/binance-exchange/binance-api-node,A complete and heavily tested API wrapper for the Binance API.,15,False,['nodejs'],binance-exchange/binance-api-node,,https://github.com/binance-exchange/binance-api-node,,2017-11-06 08:42:59,2023-03-24 16:04:09,2023-03-24 16:03:58,498.0,4.0,168.0,44.0,26.0,,,566.0,,,101.0,,,,3.0,2018-03-09 22:50:04,0.7.1,4.0,,,,,,,,,,
73,Magic8bot,,bots-frameworks,https://github.com/magic8bot/magic8bot,Magic8bot is a cryptocurrency trading bot using Node.js and MongoDB.,15,False,['nodejs'],magic8bot/magic8bot,,https://github.com/magic8bot/magic8bot,MIT,2018-07-09 13:27:43,2023-03-04 04:08:38,2020-12-26 14:42:48,164.0,,73.0,32.0,87.0,,186.0,320.0,,,6.0,,,,3.0,,,,,,,,,,,,,
74,Coinnect,,libraries-api,https://github.com/hugues31/coinnect,Coinnect is a Rust library aiming to provide a complete access to main crypto currencies exchanges via REST API.,15,False,['rust'],hugues31/coinnect,,https://github.com/hugues31/coinnect,MIT,2017-02-14 23:22:33,2021-11-30 20:49:56,2021-11-30 20:49:56,220.0,,39.0,15.0,50.0,6.0,21.0,141.0,15.0,15.0,12.0,,,,3.0,2018-03-25 17:49:34,0.5.10,13.0,,,,,,,,,,
75,Techan,,ta,https://github.com/sdcoffey/techan,Technical Analysis Library for Golang.,14,False,['go'],sdcoffey/techan,,https://github.com/sdcoffey/techan,MIT,2017-03-08 03:04:08,2022-05-12 18:10:57,2021-11-17 16:09:20,165.0,,121.0,51.0,23.0,13.0,19.0,718.0,,,9.0,,,,3.0,2018-04-12 18:41:52,0.3.0,4.0,,,,,,,,,,
76,Tulip Indicators,,ta,https://github.com/TulipCharts/tulipindicators,Technical Analysis Indicator Function Library in C.,14,False,['c'],TulipCharts/tulipindicators,,https://github.com/TulipCharts/tulipindicators,LGPL-3.0,2016-12-01 04:11:05,2023-04-02 03:56:30,2022-02-23 21:06:46,53.0,,136.0,50.0,53.0,32.0,39.0,686.0,,,3.0,,,,3.0,2022-01-18 01:53:32,0.9.1,2.0,,,,,,,,,,
